
2025/02/19 (01:28:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (01:59:42) | ===> btop++ v.1.4.0
2025/02/19 (01:59:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (01:59:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (02:27:57) | ===> btop++ v.1.4.0
2025/02/19 (02:27:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (02:27:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (03:25:02) | ===> btop++ v.1.4.0
2025/02/19 (03:25:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (03:25:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (05:43:47) | ===> btop++ v.1.4.0
2025/02/19 (05:43:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/19 (05:43:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (14:38:29) | ===> btop++ v.1.4.0
2025/02/24 (14:38:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (14:38:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (19:08:18) | ===> btop++ v.1.4.0
2025/02/28 (19:08:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/28 (19:08:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (23:12:23) | ===> btop++ v.1.4.0
2025/03/01 (23:12:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (01:01:54) | ===> btop++ v.1.4.0
2025/03/02 (01:01:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (01:01:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (23:39:21) | ===> btop++ v.1.4.0
2025/03/03 (23:39:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (23:39:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (03:09:05) | ===> btop++ v.1.4.0
2025/03/04 (03:09:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (03:09:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (03:18:48) | ===> btop++ v.1.4.0
2025/03/04 (03:18:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (03:18:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (03:45:18) | ===> btop++ v.1.4.0
2025/03/04 (03:45:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (03:45:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (16:30:36) | ===> btop++ v.1.4.0
2025/03/06 (16:30:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (16:30:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (21:55:52) | ===> btop++ v.1.4.0
2025/03/07 (21:55:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/07 (21:55:52) | WARNING: Intel GPU: Failed to initialize PMU
